INFORMATION

Date:	16/11/2025
Time:	19:06:37
Mode:	GYRO | AXL | MAGN | TIME
Freq:	50 Hz
Gyr FS: 500 dps;	Axl FS: 4 g;	Mag FS: 4 G;	Hdr FS: 100 g

DATA

Timestamp [ms][dev]	Gyr.X	Gyr.Y	Gyr.Z	Axl.X	Axl.Y	Axl.Z	Mag.X	Mag.Y	Mag.Z
1763319998747	0.98	1.9775	0.2625	-27.206	50.874	-1064.206	-230.7805	118.0941	112.2479
1763319998767	0.8575	1.225	0.14	0.244	45.75	-1026.752	-232.9728	118.3864	108.3017
1763319998787	0.385	0.595	0.2275	-4.636	50.386	-1013.454	-231.5112	117.2172	106.8401
1763319998807	0.3675	0.4375	0.2625	0.488	45.018	-1016.748	-230.4881	115.7556	110.2017
1763319998827	0.35	0.525	0.2275	-0.732	53.924	-1008.818	-231.3651	116.6326	109.1786
1763319998847	0.2975	0.385	0.1575	-3.294	52.582	-1020.652	-232.3882	118.2403	109.0324
1763319998867	0.35	0.4725	0.21	-8.784	55.388	-1009.428	-226.6881	119.5557	111.3709
1763319998887	0.3675	0.455	0.21	-1.952	51.606	-1017.48	-232.5343	119.4095	111.9556
1763319998907	0.42	0.49	0.175	-0.61	48.312	-1016.626	-230.342	117.2172	104.9401
1763319998927	0.385	0.525	0.21	-9.150001	44.164	-1016.138	-230.342	119.5557	113.271
1763319998947	0.4025	0.525	0.2625	-0.854	47.702	-1013.21	-227.1266	121.6019	113.8556
1763319998967	0.42	0.5425	0.28	-0.732	44.408	-1015.65	-235.1651	119.4095	114.4402
1763319998987	4.8825	10.3425	-10.885	88.084	70.76	-820.206	-235.8959	119.7018	121.8942
1763319999007	1.75	3.395	-3.5	9.882	37.576	-996.252	-236.0421	113.5633	109.0324
1763319999027	0.28	0.2625	0.245	1.586	49.776	-1022.848	-231.8036	117.5095	107.2786
1763319999047	0.28	0.385	0.1575	-5.978	49.654	-1019.92	-231.0728	119.1172	105.9632
1763319999067	0.3325	0.4725	0.1575	-6.71	47.702	-1019.92	-235.019	109.9094	105.817
1763319999087	0.385	0.4725	0.245	-2.928	51.362	-1017.968	-230.9266	114.0017	103.3324
1763319999107	0.42	0.49	0.21	-5.124	46.848	-1015.528	-231.5112	113.7094	105.2324
1763319999127	0.3325	0.4375	0.1575	-0.732	48.556	-1016.016	-230.7805	112.8325	104.5016
1763319999147	0.35	0.5425	0.1925	-4.758	49.044	-1017.114	-231.5112	113.271	107.1324
1763319999167	0.385	0.5425	0.2275	-5.978	52.094	-1018.334	-238.6729	118.2403	109.1786
1763319999187	0.35	0.49	0.1225	-1.708	52.094	-1022.482	-230.342	121.6019	106.1093
1763319999208	0.385	0.385	0.105	-5.002	50.142	-1016.504	-231.8036	117.5095	106.9863
1763319999228	0.385	0.4725	0.1925	-0.732	50.386	-1018.7	-230.6343	117.8018	110.7863
1763319999248	0.385	0.4375	0.245	-2.074	41.724	-1020.652	-232.3882	115.0248	110.0555
1763319999268	0.3675	0.5075	0.28	-3.782	47.092	-1012.844	-230.9266	114.7325	112.2479
1763319999288	0.385	0.49	0.1225	-6.344	43.798	-1022.238	-233.119	115.6095	111.2248
1763319999308	0.385	0.4375	0.0525	-9.882	46.848	-1020.286	-231.5112	114.5864	110.2017
1763319999328	0.3325	0.4725	0.1575	-8.296	47.214	-1019.676	-235.019	115.0248	105.6709
1763319999347	0.3675	0.455	0.175	-9.028	41.236	-1021.384	-230.1958	113.4171	113.271
1763319999367	0.35	0.5425	0.245	-5.368	45.018	-1021.384	-232.242	115.0248	107.5709
1763319999387	0.315	0.455	0.245	-3.66	46.116	-1017.846	-234.4344	110.2017	108.8863
1763319999407	0.35	0.455	0.245	-6.588	47.336	-1022.36	-230.342	111.2248	111.6633
1763319999427	0.28	0.4725	0.175	-12.078	49.41	-1021.628	-233.8497	119.2634	103.4785
1763319999447	0.4025	0.49	0.1575	-0.244	47.458	-1018.212	-229.0266	114.1479	108.3017
1763319999467	0.385	0.49	0.2625	-10.858	49.654	-1018.456	-230.342	118.3864	105.9632
1763319999487	0.84	-0.98	69.4575	620.614	60.268	-1109.59	-232.5343	113.4171	102.8939
1763319999507	6.825	13.6675	-38.99	-68.442	475.8	-992.836	-235.3113	114.7325	111.0786
1763319999527	4.095	4.445	-64.015	-104.92	-23.668	-1023.214	-234.8728	118.0941	108.8863
1763319999547	13.23	-40.145	-49.91	35.258	-1.342	-1071.404	-230.6343	115.6095	108.0093
1763319999567	13.23	-40.145	-49.91	35.258	-1.342	-1071.404	-232.9728	121.0172	103.7708
1763319999587	24.08	-94.7625	-62.79	-198.25	-153.232	-1009.794	-230.0497	114.4402	108.0093
1763319999607	23.0125	-84.91	-65.5725	-100.04	-29.524	-989.786	-230.1958	116.3402	109.0324
1763319999627	12.495	-109.865	-76.3525	-206.302	-53.558	-1071.404	-229.3189	117.948	107.8632
1763319999647	0.4725	-217.35	-85.6975	-64.538	18.178	-1085.434	-235.7498	114.0017	107.1324
1763319999667	-7.42	-365.96	-82.18	-316.956	27.084	-1050.786	-243.0576	121.4557	111.2248
1763319999687	19.53	-471.9925	-51.2225	-374.296	-171.654	-925.126	-251.9731	118.3864	106.9863
1763319999708	57.8375	-484.2775	16.45	-490.196	-143.106	-839.97	-272.5811	115.3172	114.5864
1763319999728	30.345	-406.525	121.9225	-877.18	-102.236	-1103.734	-286.0275	113.1248	113.7094
1763319999748	45.9025	-274.4525	92.6625	-905.118	213.378	-718.824	-304.4431	110.9325	117.948
1763319999768	44.2575	-299.495	46.34	-982.344	-168.238	-117.486	-318.1818	110.0555	125.6942
1763319999788	45.8325	-390.005	-71.0325	-224.358	727.242	-1313.208	-322.128	109.7632	132.2713
1763319999808	-212.0475	-320.25	-38.4125	-929.762	100.65	-558.516	-328.1204	116.7787	122.1865
1763319999828	-181.6325	-157.955	4.1475	-792.146	211.182	-800.808	-335.4282	120.1403	120.8711
1763319999848	-49.98	-45.9375	-56.0175	-1527.074	-214.232	-44.286	-331.3358	125.4019	119.1172
1763319999868	1.12	43.8725	-46.935	122.732	355.752	-366.854	-330.1666	117.8018	117.3633
1763319999888	-14.945	132.8075	2.4675	-893.894	-14.396	-5.978	-330.4589	123.9404	107.2786
1763319999908	-26.6875	137.41	19.53	-977.464	87.474	-314.394	-326.5127	120.2865	103.1862
1763319999928	-79.1525	102.165	22.295	-985.028	82.838	-394.792	-325.0511	125.9865	96.02455
1763319999948	-109.5325	102.725	37.0125	-951.478	140.3	-610.976	-319.2049	131.2482	85.79362
1763319999967	-147.9275	121.66	75.1975	-966.484	111.752	-610.122	-323.0049	137.0944	82.8705
1763319999987	-158.3575	195.0375	104.51	-814.472	165.92	-846.192	-315.2587	148.0561	64.74715
1763320000007	-218.54	276.325	140.63	-906.704	181.902	-1000.522	-305.3201	173.0488	42.23911
1763320000027	-312.165	271.25	163.555	-831.186	212.158	-736.88	-297.8661	184.1567	30.25431
1763320000047	-313.215	209.51	219.9925	-790.56	369.416	-821.06	-288.8044	214.9956	23.09266
1763320000067	-197.54	232.225	223.3875	-754.326	489.952	-732.244	-279.3043	226.5419	18.41567
1763320000087	-170.8	164.78	229.005	-563.64	483.852	-629.276	-268.4887	245.1038	7.600117
1763320000107	-165.8825	83.1075	281.1375	-553.514	677.588	-689.178	-267.758	256.6501	2.63081
1763320000127	-118.3875	17.2375	277.34	-334.768	559.736	-397.964	-265.5656	266.5887	4.676995
1763320000147	-90.755	-12.215	195.86	-291.214	809.348	-580.842	-268.1964	274.6273	8.477053
1763320000167	-41.9825	41.7375	79.835	-324.642	852.17	-775.31	-263.5194	279.3043	-3.946214
1763320000187	4.0425	51.5375	16.8525	-73.932	961.848	-398.818	-257.0886	280.7658	0.2923122
1763320000208	-106.7325	28.1575	-184.5375	-217.648	1039.562	-551.074	-255.627	282.5197	0.4384683
1763320000228	-159.39	-35.9975	-272.3875	68.442	1074.088	-956.846	-260.5963	295.2353	-0.2923122
1763320000248	-282.905	-140.8225	-235.83	-398.94	653.554	-439.688	-271.7042	313.2125	4.676995
1763320000268	-207.235	-81.655	-200.165	-208.742	722.484	-881.45	-280.912	325.4896	9.938614
1763320000288	-105.35	20.1075	-179.0425	-242.658	582.184	-678.442	-283.1043	333.9667	12.27711
1763320000308	-87.815	74.7775	-174.8775	-284.382	514.718	-597.312	-286.6121	333.9667	11.40018
1763320000328	-76.755	105.6475	-208.6875	-482.754	578.402	-414.19	-279.8889	338.059	1.753873
1763320000348	-168.56	41.4575	-215.145	-831.43	596.58	-264.496	-282.812	348.1438	8.915522
1763320000368	-209.0025	39.9175	-147.525	-1197.186	796.904	-404.064	-285.2967	358.0824	18.70798
1763320000388	-182.6475	69.93	-94.22	-1270.142	787.144	-147.132	-285.8813	370.3595	21.33879
1763320000408	-192.01	33.5825	-21.63	-1486.326	814.472	-61.366	-280.6197	380.152	29.37737
1763320000428	-208.39	-26.18	49.2625	-1412.516	727.12	51.484	-279.012	393.8907	35.80824
1763320000448	-237.545	-96.495	120.1375	-1318.088	716.506	-1.708	-279.5966	419.9064	54.80853
1763320000468	-236.4425	-112.5075	205.5725	-1012.234	514.596	-54.534	-278.4273	426.4835	64.45483
1763320000488	-239.26	-3.5525	210.56	-645.502	443.226	-435.418	-268.9272	445.6299	82.28588
1763320000508	-213.605	-25.6375	217.1575	-648.43	290.238	544.974	-256.9424	453.8147	87.25519
1763320000528	-204.2775	-52.535	263.5325	-277.794	374.296	218.868	-237.9421	466.9687	102.1631
1763320000548	-153.3525	-37.0475	254.6775	-248.026	230.58	398.086	-221.5726	469.4533	115.171
1763320000568	-200.3575	23.1	153.51	-123.708	277.184	-0.488	-216.1649	472.2303	122.7711
1763320000587	-110.075	17.885	104.6675	-486.048	867.786	540.46	-206.0801	476.3227	126.425
1763320000607	-104.4575	-29.575	109.6025	-379.42	789.34	781.654	-196.2876	475.4457	132.4174
1763320000627	-123.165	-105.49	143.36	-403.698	530.578	675.514	-191.4645	476.0304	145.8638
1763320000647	-106.9425	-158.4625	230.72	-187.026	746.03	904.996	-172.9026	480.2689	145.7176
1763320000667	-66.01	-129.29	370.7725	-252.662	152.988	333.426	-163.841	474.8611	148.0561
